DATE,MYAGM2EZM196N
2004-04-01,5344467000000
2004-05-01,5377365000000.000000
2004-06-01,5408012000000.000000
2004-07-01,5428440000000
2004-08-01,5397916000000.000000
2004-09-01,5451083000000.000000
2004-10-01,5490285000000.000000
2004-11-01,5528865000000.000000
2004-12-01,5632265000000.000000
2005-01-01,5637298000000
2005-02-01,5643364000000.000000
2005-03-01,5680387000000
2005-04-01,5738282000000.000000
2005-05-01,5778327000000
2005-06-01,5858475000000.000000
2005-07-01,5896526000000.000000
2005-08-01,5859423000000.000000
2005-09-01,5939643000000.000000
2005-10-01,5976941000000.000000
2005-11-01,6002366000000.000000
2005-12-01,6168737000000
2006-01-01,6134008000000
2006-02-01,6157331000000
2006-03-01,6212517000000.000000
2006-04-01,6316677000000.000000
2006-05-01,6321177000000.000000
2006-06-01,6386776000000.000000
2006-07-01,6382249000000.000000
2006-08-01,6360016000000.000000
2006-09-01,6461105000000.000000
2006-10-01,6472185000000.000000
2006-11-01,6535927000000.000000
2006-12-01,6743791000000
2007-01-01,6704078690000
2007-02-01,6707663590000
2007-03-01,6830308980000
2007-04-01,6875257540000
2007-05-01,6928872610000
2007-06-01,7023576910000
2007-07-01,7063718310000
2007-08-01,7044759300000
2007-09-01,7140136020000
2007-10-01,7229789160000
2007-11-01,7288789240000
2007-12-01,7436873890000
2008-01-01,7449456190000
2008-02-01,7471674820000
2008-03-01,7544870830000
2008-04-01,7625570920000
2008-05-01,7688719570000
2008-06-01,7734626560000
2008-07-01,7750323860000
2008-08-01,7759475670000
2008-09-01,7839898820000
2008-10-01,7972122000000
2008-11-01,8018985080000
2008-12-01,8103056980000
2009-01-01,8101892210000
2009-02-01,8093799240000
2009-03-01,8094023230000
2009-04-01,8164981320000
2009-05-01,8157431590000
2009-06-01,8186152570000
2009-07-01,8170120430000
2009-08-01,8152961550000
2009-09-01,8153645390000
2009-10-01,8178413500000
2009-11-01,8169984240000
2009-12-01,8275090590000
2010-01-01,8234925070000
2010-02-01,8210916120000
2010-03-01,8209451530000
2010-04-01,8268951740000
2010-05-01,8301215080000
2010-06-01,8333155330000
2010-07-01,8337672910000
2010-08-01,8342473540000
2010-09-01,8344372870000
2010-10-01,8378476210000
2010-11-01,8388300570000
2010-12-01,8472295450000
2011-01-01,8435754600000
2011-02-01,8415889110000
2011-03-01,8441078810000
2011-04-01,8482013950000
2011-05-01,8488118150000
2011-06-01,8517982800000
2011-07-01,8522260990000
2011-08-01,8530699180000
2011-09-01,8568031090000
2011-10-01,8555869480000
2011-11-01,8565193560000
2011-12-01,8670606000000
2012-01-01,8640110000000
2012-02-01,8648411000000
2012-03-01,8718042000000
2012-04-01,8721253000000
2012-05-01,8752512000000
2012-06-01,8810355000000
2012-07-01,8833836000000
2012-08-01,8826210000000
2012-09-01,8866345000000
2012-10-01,8928497000000
2012-11-01,8955965000000
2012-12-01,9044639000000
2013-01-01,9017783000000
2013-02-01,9052631000000
2013-03-01,9081338000000
2013-04-01,9103737000000
2013-05-01,9128400000000
2013-06-01,9129744000000
2013-07-01,9157419000000
2013-08-01,9185109000000
2013-09-01,9179608000000
2013-10-01,9218195000000
2013-11-01,9236345000000
2013-12-01,9212147000000
2014-01-01,9244220000000
2014-02-01,9272606000000
2014-03-01,9277870000000
2014-04-01,9289816000000
2014-05-01,9328806000000
2014-06-01,9355707000000
2014-07-01,9393273000000
2014-08-01,9443850000000
2014-09-01,9475081000000.000000
2014-10-01,9497903000000
2014-11-01,9569281000000
2014-12-01,9668681000000
2015-01-01,9749062000000
2015-02-01,9764289000000
2015-03-01,9810907000000
2015-04-01,9859662000000
2015-05-01,9914221000000
2015-06-01,9946958000000
2015-07-01,10011211000000
2015-08-01,10037605000000
2015-09-01,10068328000000
2015-10-01,10124772000000
2015-11-01,10186100000000.00000
2015-12-01,10215459000000.0000000
2016-01-01,10274065000000
2016-02-01,10312438000000.0000000
2016-03-01,10348009000000.0000000
2016-04-01,10376779000000.0000000
2016-05-01,10416638000000.0000000
2016-06-01,10457644000000.0000000
2016-07-01,10512054000000.0000000
2016-08-01,10547979000000.0000000
2016-09-01,10573312000000.0000000
2016-10-01,10590298000000.0000000
2016-11-01,10667463000000.0000000
2016-12-01,10686288000000.0000000
2017-01-01,10744692000000.0000000
2017-02-01,10797860000000.000000
2017-03-01,10876141000000.0000000
