DATE,M2NS
2005-04-01,6495.5
2005-05-01,6446.9
2005-06-01,6498.8
2005-07-01,6517.7
2005-08-01,6541.8
2005-09-01,6574.5
2005-10-01,6601.6
2005-11-01,6642.4
2005-12-01,6695.5
2006-01-01,6693.6
2006-02-01,6710.7
2006-03-01,6783.2
2006-04-01,6846.6
2006-05-01,6785.1
2006-06-01,6838.8
2006-07-01,6860.3
2006-08-01,6878.9
2006-09-01,6906.4
2006-10-01,6949.1
2006-11-01,7011.3
2006-12-01,7086.3
2007-01-01,7084.3
2007-02-01,7095.8
2007-03-01,7193.6
2007-04-01,7282.8
2007-05-01,7227.1
2007-06-01,7271.1
2007-07-01,7273.9
2007-08-01,7333.4
2007-09-01,7354.1
2007-10-01,7364.6
2007-11-01,7423.2
2007-12-01,7490.8
2008-01-01,7489.0
2008-02-01,7571.3
2008-03-01,7705.5
2008-04-01,7753.9
2008-05-01,7695.6
2008-06-01,7717.9
2008-07-01,7731.1
2008-08-01,7729.2
2008-09-01,7802.8
2008-10-01,7911.8
2008-11-01,8002.4
2008-12-01,8221.2
2009-01-01,8265.8
2009-02-01,8294.3
2009-03-01,8430.0
2009-04-01,8429.9
2009-05-01,8416.7
2009-06-01,8429.2
2009-07-01,8395.6
2009-08-01,8374.4
2009-09-01,8382.7
2009-10-01,8414.1
2009-11-01,8489.3
2009-12-01,8531.4
2010-01-01,8452.1
2010-02-01,8496.6
2010-03-01,8564.7
2010-04-01,8589.8
2010-05-01,8572.2
2010-06-01,8594.4
2010-07-01,8564.8
2010-08-01,8595.6
2010-09-01,8637.4
2010-10-01,8698.1
2010-11-01,8763.3
2010-12-01,8845.3
2011-01-01,8837.4
2011-02-01,8874.5
2011-03-01,8987.8
2011-04-01,9042.9
2011-05-01,9012.9
2011-06-01,9101.5
2011-07-01,9254.3
2011-08-01,9450.2
2011-09-01,9488.9
2011-10-01,9538.9
2011-11-01,9622.0
2011-12-01,9718.3
2012-01-01,9750.9
2012-02-01,9775.9
2012-03-01,9892.1
2012-04-01,9937.9
2012-05-01,9871.9
2012-06-01,9949.8
2012-07-01,9994.9
2012-08-01,10058.0
2012-09-01,10154.2
2012-10-01,10234.9
2012-11-01,10332.0
2012-12-01,10520.2
2013-01-01,10495.3
2013-02-01,10468.3
2013-03-01,10615.0
2013-04-01,10643.8
2013-05-01,10566.6
2013-06-01,10631.3
2013-07-01,10670.4
2013-08-01,10725.9
2013-09-01,10793.7
2013-10-01,10920.8
2013-11-01,10965.0
2013-12-01,11092.3
2014-01-01,11089.6
2014-02-01,11141.2
2014-03-01,11266.6
2014-04-01,11319.8
2014-05-01,11263.1
2014-06-01,11325.1
2014-07-01,11380.2
2014-08-01,11411.3
2014-09-01,11459.4
2014-10-01,11527.2
2014-11-01,11603.1
2014-12-01,11748.2
2015-01-01,11747.2
2015-02-01,11835.4
2015-03-01,11945.2
2015-04-01,11993.1
2015-05-01,11896.5
2015-06-01,11951.1
2015-07-01,12001.8
2015-08-01,12059.3
2015-09-01,12126.9
2015-10-01,12160.4
2015-11-01,12286.7
2015-12-01,12416.6
2016-01-01,12467.8
2016-02-01,12506.6
2016-03-01,12674.4
2016-04-01,12768.0
2016-05-01,12697.9
2016-06-01,12778.4
2016-07-01,12839.9
2016-08-01,12937.6
2016-09-01,13008.3
2016-10-01,13073.0
2016-11-01,13186.0
2016-12-01,13294.4
2017-01-01,13276.3
2017-02-01,13300.1
2017-03-01,13486.2
2017-04-01,13559.1
2017-05-01,13467.9
2017-06-01,13515.7
2017-07-01,13577.9
2017-08-01,13646.8
2017-09-01,13697.2
2017-10-01,13742.4
2017-11-01,13811.6
2017-12-01,13937.3
2018-01-01,13855.5
2018-02-01,13841.4
2018-03-01,14023.0
2018-04-01,14064.6
2018-05-01,13984.8
2018-06-01,14079.4
2018-07-01,14114.0
2018-08-01,14170.5
2018-09-01,14204.9
2018-10-01,14207.3
2018-11-01,14260.8
2018-12-01,14453.4
2019-01-01,14423.7
2019-02-01,14391.4
2019-03-01,14552.3
2019-04-01,14604.8
